Grant Name,Sponsor,Link,Award max,RFP,Innovation/execution,Latest preparation start date,App deadline,Partners notes,Match req %,Timeline summary,App process,App package,Extra notes,Relevance,EQORE Fit,Ease of Use,Match %,Weighted Score,Deadline,Days to Deadline
SPURRING PROJECTS TO ADVANCE ENERGY RESEARCH AND KNOWLEDGE SWIFTLY (SPARKS) (DE-FOA-0003164),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/350952,,https://www.grants.gov/search-results-detail/350952,,,09/30/2029,,,Open 11/09/2023 → Close 09/30/2029,,,Status: posted,3.5,4.0,5.0,,14.0,,
Reliable Ore Characterization with Keystone Sensing (ROCKS) (DE-FOA-0003592),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360353,,https://www.grants.gov/search-results-detail/360353,,,09/25/2025,,,Open 08/25/2025 → Close 09/25/2025,,,Status: posted,3.5,4.0,2.0,,5.6000000000000005,,
Reliable Ore Characterization with Keystone Sensing SBIR/STTR (ROCKS SBIR/STTR) (DE-FOA-0003593),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360354,,https://www.grants.gov/search-results-detail/360354,,,09/25/2025,,,Open 08/25/2025 → Close 09/25/2025,,,Status: posted,4.5,5.0,2.0,,9.0,,
Magnetic Acceleration Generating New Innovations and Tactical Outcomes (MAGNITO) (DE-FOA-0003590),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360355,,https://www.grants.gov/search-results-detail/360355,,,09/24/2025,,,Open 08/25/2025 → Close 09/24/2025,,,Status: posted,4.0,5.0,2.0,,8.0,,
University Nuclear Leadership Program&ndash; Scholarship and Fellowship Support (DE-FOA-0002265),Idaho Field Office,https://www.grants.gov/search-results-detail/329436,,https://www.grants.gov/search-results-detail/329436,,,10/14/2030,,,Open 10/15/2020 → Close 10/14/2030,,,Status: posted,1.0,3.0,5.0,,3.0,,
Electrochemical Systems (PD-23-7644),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347329,,https://www.grants.gov/search-results-detail/347329,,,,,,Open 04/05/2023 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
Thermal Transport Processes (PD-23-1406),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347324,,https://www.grants.gov/search-results-detail/347324,,,,,,Open 04/05/2023 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
"Energy, Power, Control, and Networks (PD-18-7607)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/348258,,https://www.grants.gov/search-results-detail/348258,,,,,,Open 05/19/2023 → Close ,,,Status: posted,3.0,3.0,3.0,,5.3999999999999995,,
FY 2025 Continuation of Solicitation for the Office of Science Financial Assistance Program (DE-FOA-0003432),Office of Science,https://www.grants.gov/search-results-detail/356590,,https://www.grants.gov/search-results-detail/356590,,,09/30/2025,,,Open 09/30/2024 → Close 09/30/2025,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
Renewable Energy Systems and Energy Efficiency Improvements Program (RDBCP-REAP-RES-EEI-2016),Rural Business-Cooperative Service ,https://www.grants.gov/search-results-detail/279638,,https://www.grants.gov/search-results-detail/279638,,,,,,Open 10/13/2015 → Close ,,,Status: posted,4.0,4.0,3.0,25.0,9.6,,
Renewable Energy Systems and Energy Efficiency Improvements Program (RDBCP-REAP-RES-EEI-2019),Rural Business-Cooperative Service ,https://www.grants.gov/search-results-detail/310029,,https://www.grants.gov/search-results-detail/310029,,,,,,Open 10/30/2018 → Close ,,,Status: posted,4.0,4.0,3.0,25.0,9.6,,
MINE HEALTH AND SAFETY STATE GRANTS (MSHA-2025-1),Mine Safety and Health Administration,https://www.grants.gov/search-results-detail/360276,,https://www.grants.gov/search-results-detail/360276,,,09/09/2025,,,Open 08/11/2025 → Close 09/09/2025,,,Status: posted,0.5,3.0,2.0,,0.6000000000000001,,
Brookwood-Sago Mine Safety Grants (FOA-BS-2025-1),Mine Safety and Health Administration,https://www.grants.gov/search-results-detail/360323,,https://www.grants.gov/search-results-detail/360323,,,09/19/2025,,,Open 08/21/2025 → Close 09/19/2025,,,Status: posted,0.5,3.0,2.0,,0.6000000000000001,,
